,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
314,40.0,215.0,6.36,4000.0,3.0,32.0,17.0,13.0,FHD,4G,2.0,0,1,0,1,1,0,0,0
1861,40.0,215.0,5.5,3000.0,3.0,32.0,13.0,9.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
1339,40.0,215.0,5.5,3340.0,1.0,32.0,17.0,13.0,FHD,4G,2.0,0,1,0,1,0,1,0,1
664,215.0,420.0,5.7,3000.0,4.0,64.0,13.0,9.0,FHD,4G,1.0,0,0,0,1,0,0,0,0
918,40.0,215.0,5.5,3000.0,3.0,32.0,13.0,9.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
696,215.0,420.0,6.1,3000.0,4.0,32.0,17.0,9.0,QHD,4G,1.0,0,1,0,1,1,1,1,1
184,215.0,420.0,5.99,4000.0,4.0,64.0,13.0,9.0,FHD,4G,2.0,0,1,0,1,1,0,0,0
1549,215.0,420.0,5.09,2900.0,4.0,64.0,12.0,9.0,QHD,4G,1.0,1,0,0,1,1,1,0,0
1228,215.0,420.0,4.7,3000.0,1.0,16.0,9.0,3.0,qHD,4G,1.0,0,1,0,1,0,1,0,1
1098,215.0,420.0,4.8,2300.0,1.0,8.0,9.0,2.0,qHD,3G,1.0,0,1,0,1,1,1,0,0
1429,40.0,215.0,5.65,3100.0,3.0,32.0,12.0,9.0,FHD,4G,2.0,0,1,0,1,1,1,0,0
330,215.0,420.0,5.5,3500.0,6.0,64.0,3.0,16.0,FHD,4G,1.0,0,0,1,0,1,1,0,0
1076,215.0,420.0,5.5,4000.0,3.0,32.0,17.0,9.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
645,215.0,420.0,5.5,3000.0,4.0,32.0,13.0,16.0,HD,4G,1.0,0,1,0,1,0,0,0,0
1095,215.0,420.0,5.5,3100.0,1.0,8.0,9.0,2.0,qHD,3G,1.0,0,1,0,0,0,1,0,0
1031,40.0,215.0,5.5,3000.0,3.0,32.0,13.0,9.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
1832,215.0,420.0,5.5,3000.0,2.0,16.0,13.0,6.0,FHD,4G,1.0,0,1,0,1,1,1,0,0
1109,40.0,215.0,6.3,3300.0,4.0,64.0,17.0,16.0,FHD,4G,3.0,0,1,0,1,1,0,0,0
1629,40.0,215.0,5.0,2800.0,3.0,16.0,13.0,9.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
584,215.0,420.0,5.2,3000.0,2.0,16.0,13.0,13.0,HD,4G,1.0,1,1,0,1,1,1,0,0
713,40.0,215.0,5.5,3000.0,1.0,32.0,17.0,9.0,FHD,4G,1.0,0,1,0,1,0,1,0,0
102,215.0,420.0,6.39,4000.0,6.0,64.0,49.0,20.0,FHD,4G,3.0,1,0,0,1,1,1,0,0
569,40.0,215.0,5.0,2300.0,2.0,16.0,13.0,6.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
1010,215.0,420.0,4.7,3000.0,1.0,16.0,9.0,3.0,qHD,4G,1.0,0,1,0,1,0,1,0,1
114,40.0,215.0,6.53,4000.0,4.0,64.0,49.0,16.0,FHD,4G,2.0,0,1,0,1,1,0,0,0
120,215.0,420.0,5.5,3000.0,2.0,4.0,13.0,4.0,FHD,4G,1.0,0,1,0,0,0,0,0,1
1890,40.0,215.0,6.59,4000.0,4.0,128.0,49.0,16.0,FHD,4G,3.0,0,1,0,1,1,0,0,0
1337,215.0,420.0,5.1,3000.0,4.0,32.0,12.0,6.0,QHD,4G,1.0,1,1,0,1,1,1,1,1
1068,215.0,420.0,5.5,6000.0,2.0,16.0,13.0,6.0,HD,4G,1.0,1,1,0,1,0,0,0,0
656,215.0,420.0,5.5,3450.0,4.0,32.0,13.0,9.0,QHD,4G,1.0,1,0,0,1,1,1,0,1
744,215.0,420.0,6.0,3000.0,1.0,16.0,9.0,3.0,HD,3G,1.0,0,1,1,1,0,0,0,0
1310,40.0,215.0,6.35,5000.0,4.0,64.0,13.0,9.0,FHD,4G,3.0,0,1,0,1,1,0,0,0
914,215.0,420.0,7.0,5000.0,2.0,16.0,13.0,6.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
1266,215.0,420.0,5.5,3000.0,4.0,32.0,17.0,9.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
1534,215.0,420.0,5.0,2500.0,2.0,16.0,13.0,6.0,HD,4G,1.0,1,1,0,1,0,0,0,0
