,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
314,420.0,1600.0,6.300000000000001,4050.0,5.999999999999998,63.99999999999999,14.0,13.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1861,420.0,1600.0,5.499999999999999,2999.9999999999995,3.0,63.99999999999999,16.0,8.0,QHD,4G,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1339,420.0,1600.0,5.999999999999999,3499.9999999999977,6.000000000000001,32.0,16.0,16.0,FHD,4G,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
664,215.0,420.0,6.09,3019.9999999999995,3.999999999999999,63.99999999999999,13.0,8.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
918,420.0,1600.0,4.39860139901955,2545.2342465562565,3.0,127.99999999999996,13.0,4.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
696,215.0,420.0,5.96,4150.000000000002,1.5,63.99999999999999,16.0,8.0,QHD,4G,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184,215.0,420.0,5.9,3089.999999999999,3.999999999999999,63.99999999999999,13.0,10.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1549,215.0,420.0,5.43,3600.000000000002,5.999999999999998,16.0,16.0,8.0,QHD,4G,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
1228,215.0,420.0,4.079691965549125,2419.999999999999,0.9999999999999998,16.0,19.0,4.0,qHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1098,215.0,420.0,4.700000000000001,2000.0,0.9999999999999998,8.000000000000002,16.0,3.0,HD,3G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1429,420.0,1600.0,5.999999999999999,3199.999999999998,5.999999999999998,127.99999999999996,12.0,16.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
330,215.0,420.0,4.618054378065153,3499.9999999999977,3.999999999999999,16.00000000000001,16.0,10.0,qHD,4G,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1076,215.0,420.0,6.741925511745128,4000.000000000002,3.0,32.0,13.0,5.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
645,215.0,420.0,5.499999999999999,3100.0000000000005,3.0,32.0,13.0,24.0,HD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1095,215.0,420.0,6.999999999999998,3199.999999999998,0.9999999999999998,8.000000000000002,13.0,2.0,HD,3G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1031,420.0,1600.0,5.46,4791.396848789417,3.999999999999999,128.00000000000009,12.0,20.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1832,215.0,420.0,5.499999999999999,2900.0000000000005,2.0000000000000004,16.0,13.0,5.0,FHD,4G,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1109,420.0,1600.0,6.2,2999.9999999999995,3.999999999999999,127.99999999999996,16.0,12.0,FHD,4G,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1629,420.0,1600.0,5.0,3079.9999999999995,3.0,127.99999999999996,13.0,8.0,FHD,4G,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
