,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
314,40.0,215.0,6.300000000000001,4049.9999999999995,1.5,63.999999999999986,19.0,13.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
1861,40.0,215.0,5.499999999999999,2999.9999999999995,3.0,8.000000280852792,16.0,8.0,HD,4G,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1339,40.0,215.0,5.080182624564248,3499.9999999999977,3.999999999999999,127.99999999999997,10.0,2.0,qHD,3G,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
918,40.0,215.0,5.0,2419.999999999999,3.0,16.0000000000136,13.0,8.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1429,40.0,215.0,5.999999999999999,3199.9999999999986,2.0000000000000004,63.999999999999986,12.0,16.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1031,40.0,215.0,5.46,2999.9999999999995,0.9999999999999998,63.999999999999986,12.0,20.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1109,40.0,215.0,6.2,2999.9999999999995,0.9999999999999998,63.999999999999986,16.0,12.0,HD,4G,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
1629,40.0,215.0,5.0,3079.9999999999995,3.0,16.0,13.0,8.0,FHD,4G,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
713,40.0,215.0,5.499999999999999,3199.9999999999986,3.0,32.0,16.0,6.0,HD,4G,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
569,40.0,215.0,5.0,2300.0000000000005,2.0000000000000004,16.0,13.0,5.0,qHD,3G,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
114,40.0,215.0,6.499999999999999,4000.0000000000014,3.999999999999999,16.0,14.0,20.0,FHD,4G,3.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
1890,40.0,215.0,6.300000000000001,4000.0000000000014,0.9999999918503872,127.99999999999997,10.0,16.0,FHD,4G,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
