,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
868,215.0,420.0,5.499999999999999,4070.0000000000023,3.999999999999999,8.000000000000002,16.0,8.0,FHD,4G,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
771,420.0,1600.0,6.400000000000001,3749.9999999999977,5.999999999999998,127.99999999999997,19.0,25.0,FHD,4G,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1672,215.0,420.0,5.499999999999999,4310.563170247394,3.999999999999999,63.999999999999986,13.0,16.0,HD,4G,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1597,40.0,215.0,5.990000000000001,4000.0000000000014,2.0000000000000004,63.999999999999986,12.0,20.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1030,215.0,420.0,5.46,2868.0574720953873,3.999999999999999,63.999999999999986,12.0,20.0,FHD,4G,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
877,215.0,420.0,6.390000000000001,3349.9999999999986,6.000000000000001,3.9999999999999982,16.0,16.0,FHD,4G,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
599,420.0,1600.0,4.700000000000001,5110.87556690056,3.0,32.0,13.0,5.0,HD,4G,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1459,420.0,1600.0,5.46,3375.8457666222835,3.999999999999999,63.999999999999986,19.0,13.0,QHD,4G,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
790,215.0,420.0,5.93,4000.0000000000014,3.0,127.99999999999986,16.0,13.0,FHD,4G,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
878,215.0,420.0,6.390000000000001,3349.9999999999986,5.999999999999998,3.9999999999999982,16.0,16.0,FHD,4G,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
525,420.0,1600.0,4.124320498690994,2399.999999999999,2.0000000000000004,63.999999999999986,13.0,2.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
528,40.0,215.0,5.0,2519.9999999999995,2.0000000000000004,16.0,13.0,3.0,HD,4G,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
723,215.0,420.0,5.499999999999999,2700.0000000000005,2.0000000000000004,16.0,13.0,3.0,QHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1371,215.0,420.0,5.1,4000.0000000000014,3.999999999999999,16.0,12.0,5.0,QHD,4G,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
14,40.0,215.0,6.300000000000001,4000.0000000000014,0.9999999999999998,127.99999999999997,19.0,16.0,QHD,4G,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
935,420.0,1600.0,5.499999999999999,2999.9999999999995,3.0,128.00000000000009,16.0,12.0,QHD,4G,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1856,420.0,1600.0,5.499999999999999,3467.6093777982555,3.999999999999999,63.999999999999986,16.0,8.0,FHD,4G,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1544,420.0,1600.0,5.200000000000001,4063.268476553681,3.999999999999999,63.999999999999986,13.0,16.0,FHD,4G,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
707,215.0,420.0,5.999999999999999,3930.0,1.5,63.999999999999986,12.0,5.0,FHD,4G,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
1874,40.0,215.0,5.504458157143064,4000.0000000000014,3.0,32.0,12.0,5.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
430,215.0,420.0,5.499999999999999,3149.9999999999977,3.999999999999999,16.0,13.0,5.0,HD,4G,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1015,215.0,420.0,4.35913413211573,2539.9999999999995,0.9999999999999998,8.000000000000002,19.0,2.0,qHD,3G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
626,420.0,1600.0,6.01,3600.000000000002,5.999999999999998,127.99999999999997,16.0,20.0,FHD,4G,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
816,40.0,215.0,5.628615359360946,4360.0,3.0,16.0,13.0,5.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1603,215.0,420.0,5.990000000000001,3399.999999999999,5.999999999999998,8.000000000000002,12.0,5.0,FHD,4G,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1843,40.0,215.0,5.499999999999999,2999.9999999999995,3.0,32.0,13.0,13.0,HD,4G,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1624,40.0,215.0,5.0,3079.9999999999995,2.0000000000000004,16.0,13.0,5.0,HD,4G,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
646,215.0,420.0,5.499999999999999,3149.9999999999977,3.0,127.99999999999997,13.0,8.0,FHD,4G,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1618,215.0,420.0,5.150000000000001,2999.9999999999995,3.999999999999999,127.99999999999997,16.0,6.0,FHD,4G,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
