,misc_price_min,misc_price_max,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
868,215.0,420.0,5.5,4070.0,4.0,8.0,16.0,9.0,FHD,4G,1.0,0,0,1,0,1,1,0,0
771,420.0,1600.0,6.4,3750.0,6.0,128.0,19.0,26.0,FHD,4G,2.0,0,0,0,1,1,0,0,0
1672,215.0,420.0,5.5,4310.56,4.0,64.0,13.0,16.0,HD,4G,1.0,1,1,0,1,1,0,0,0
1597,40.0,215.0,5.99,4000.0,4.0,16.0,12.0,20.0,FHD,4G,2.0,0,1,0,1,1,0,0,0
1030,215.0,420.0,5.46,2868.06,4.0,64.0,12.0,20.0,FHD,4G,2.0,1,0,1,1,1,0,0,0
877,215.0,420.0,6.39,3350.0,6.0,4.0,16.0,16.0,FHD,4G,2.0,1,0,0,0,1,1,0,0
599,420.0,1600.0,4.7,5110.88,3.0,32.0,13.0,5.0,HD,4G,1.0,0,1,0,1,0,1,0,1
1459,420.0,1600.0,5.46,3375.85,4.0,64.0,19.0,13.0,QHD,4G,1.0,0,1,1,1,1,1,0,1
790,215.0,420.0,5.93,4000.0,3.0,128.0,16.0,13.0,FHD,4G,2.0,0,1,0,1,0,0,0,0
878,215.0,420.0,6.39,3350.0,6.0,4.0,16.0,16.0,FHD,4G,2.0,1,0,0,0,1,1,0,0
525,420.0,1600.0,4.12,2400.0,2.0,64.0,13.0,3.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
528,40.0,215.0,5.0,2520.0,2.0,16.0,13.0,3.0,HD,4G,1.0,0,1,0,1,0,1,0,0
723,215.0,420.0,7.05,2700.0,2.0,16.0,13.0,5.0,QHD,4G,1.0,0,1,0,1,0,0,0,0
1371,215.0,420.0,5.1,4000.0,4.0,16.0,12.0,5.0,QHD,4G,1.0,1,1,0,1,1,1,1,1
14,40.0,215.0,6.3,3775.51,1.0,64.0,12.0,16.0,qHD,3G,2.0,1,0,0,0,0,1,0,0
935,420.0,1600.0,4.6,3000.0,2.0,32.0,13.0,3.0,FHD,4G,1.0,0,0,0,1,1,0,0,0
1856,420.0,1600.0,5.5,3467.61,4.0,64.0,16.0,9.0,FHD,4G,1.0,1,1,0,1,0,0,0,0
1544,420.0,1600.0,5.2,4063.27,4.0,64.0,13.0,16.0,FHD,4G,1.0,1,1,0,1,0,0,0,0
707,215.0,420.0,6.0,3930.0,1.5,64.0,12.0,5.0,FHD,4G,1.0,0,1,0,0,1,1,0,1
1874,40.0,215.0,5.5,4000.0,3.0,32.0,12.0,5.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
430,215.0,420.0,5.5,3150.0,4.0,16.0,13.0,5.0,HD,4G,1.0,1,1,0,1,0,0,0,0
1015,215.0,420.0,4.36,2540.0,1.0,8.0,19.0,2.0,qHD,3G,1.0,0,1,0,1,0,0,0,0
626,420.0,1600.0,6.01,3600.0,6.0,128.0,16.0,20.0,FHD,4G,2.0,1,1,0,1,0,1,0,0
816,40.0,215.0,5.63,4360.0,3.0,16.0,13.0,5.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
1603,215.0,420.0,5.99,3400.0,6.0,8.0,12.0,5.0,FHD,4G,1.0,0,0,0,0,1,1,0,0
1843,40.0,215.0,5.5,3000.0,3.0,32.0,13.0,13.0,HD,4G,1.0,0,1,0,1,1,0,0,0
1624,40.0,215.0,5.0,3080.0,2.0,16.0,13.0,5.0,HD,4G,1.0,0,0,0,1,1,0,0,0
248,215.0,420.0,6.53,5020.0,6.0,128.0,19.0,13.0,FHD,4G,4.0,0,1,0,1,1,0,0,1
646,215.0,420.0,5.5,3150.0,3.0,128.0,13.0,9.0,FHD,4G,1.0,0,1,0,1,0,0,0,0
1618,215.0,420.0,5.15,3000.0,4.0,128.0,16.0,6.0,FHD,4G,1.0,0,0,0,1,1,1,0,0
1706,215.0,420.0,4.61,3000.0,3.0,32.0,13.0,9.0,FHD,4G,2.0,0,1,0,1,0,1,0,0
1646,40.0,215.0,5.5,3930.0,1.5,64.0,16.0,9.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
46,40.0,215.0,6.26,4000.0,6.0,64.0,19.0,9.0,FHD,4G,4.0,0,0,0,1,1,0,0,0
1595,215.0,420.0,5.99,3400.0,1.5,64.0,12.0,20.0,FHD,4G,2.0,0,0,0,0,1,1,1,0
279,215.0,420.0,6.65,5100.0,6.0,16.0,19.0,12.0,FHD,5G,4.0,1,0,0,0,1,1,0,0
1119,40.0,215.0,5.7,4000.0,2.0,16.0,13.0,11.0,HD,4G,1.0,0,1,0,1,1,1,0,1
1906,215.0,420.0,6.57,4160.0,6.0,64.0,19.0,16.0,QHD,5G,4.0,1,0,0,1,1,1,0,0
414,420.0,1600.0,6.0,3100.0,1.0,128.0,11.0,5.0,FHD,5G,2.0,0,1,0,1,1,1,1,0
1389,40.0,215.0,4.3,1900.0,1.5,8.0,11.0,3.0,qHD,4G,3.0,1,1,0,1,1,1,0,0
1474,215.0,420.0,5.5,2500.0,1.0,8.0,16.0,5.0,HD,3G,1.0,0,1,0,1,0,1,0,0
1499,40.0,215.0,6.26,3260.0,3.0,32.0,16.0,16.0,FHD,4G,2.0,0,1,0,1,1,0,0,0
35,40.0,215.0,6.21,3400.0,1.5,128.0,13.0,9.0,FHD,4G,2.0,0,1,0,1,1,1,0,0
1186,40.0,215.0,6.2,4230.0,4.0,64.0,13.0,16.0,HD,4G,3.0,0,1,0,1,0,1,0,0
1587,40.0,215.0,5.99,3000.0,3.0,4.0,12.0,20.0,FHD,4G,2.0,0,0,0,0,1,0,0,0
55,215.0,420.0,6.39,3500.0,4.0,128.0,19.0,26.0,FHD,4G,4.0,1,0,0,0,1,1,0,0
607,40.0,215.0,5.5,4060.0,1.5,64.0,13.0,9.0,HD,4G,1.0,0,0,0,1,1,0,0,0
532,420.0,1600.0,4.5,5073.44,6.0,64.0,12.0,9.0,FHD,4G,2.0,0,1,0,1,1,1,0,0
1576,215.0,420.0,5.97,3070.0,6.0,8.0,19.0,20.0,FHD,4G,3.0,1,0,0,0,1,1,0,0
1239,215.0,420.0,4.27,2410.0,1.0,16.0,13.0,5.0,HD,4G,1.0,0,0,0,1,0,0,0,0
1675,215.0,420.0,5.5,3200.0,6.0,32.0,12.0,16.0,FHD,4G,2.0,0,0,0,0,1,1,0,0
902,215.0,420.0,5.2,2785.82,4.0,64.0,13.0,9.0,FHD,4G,1.0,1,0,0,1,1,0,0,0
1427,215.0,420.0,6.0,3200.0,4.0,64.0,12.0,16.0,FHD,4G,2.0,0,1,0,1,1,1,1,0
1608,40.0,215.0,5.32,4100.0,3.0,32.0,13.0,5.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
411,40.0,215.0,4.7,2000.0,1.5,8.0,13.0,5.0,HD,4G,3.0,0,1,1,1,0,1,0,0
1277,215.0,420.0,5.0,2500.0,2.0,16.0,16.0,3.0,HD,3G,1.0,0,1,0,1,0,0,0,0
1527,420.0,1600.0,6.43,3900.0,4.0,128.0,12.0,12.0,FHD,4G,2.0,1,1,0,1,1,0,0,0
1684,215.0,420.0,4.06,2730.0,2.0,16.0,13.0,24.0,FHD,4G,2.0,0,1,0,1,0,0,0,0
1666,215.0,420.0,5.73,3100.0,6.0,8.0,12.0,5.0,FHD,4G,2.0,0,0,0,0,1,1,0,0
1615,215.0,420.0,5.15,3200.0,3.0,64.0,12.0,5.0,FHD,4G,1.0,0,0,0,1,1,1,0,0
471,215.0,420.0,6.26,4000.0,4.0,64.0,12.0,9.0,FHD,4G,2.0,0,1,0,1,1,0,0,0
1278,215.0,420.0,5.5,2500.0,1.0,8.0,16.0,3.0,HD,3G,1.0,0,1,0,1,0,0,0,0
743,40.0,215.0,5.5,2600.0,2.0,16.0,13.0,4.0,FHD,4G,2.0,0,1,1,1,1,0,0,0
1619,40.0,215.0,5.52,4850.0,2.0,16.0,16.0,5.0,FHD,4G,1.0,0,1,0,1,1,0,0,0
1276,420.0,1600.0,4.6,2600.0,2.0,64.0,14.0,3.0,FHD,4G,1.0,0,1,0,1,1,1,0,0
286,40.0,215.0,6.49,5000.0,3.0,128.0,16.0,9.0,FHD,4G,2.0,0,1,0,1,0,0,0,0
598,420.0,1600.0,5.2,4753.42,4.0,64.0,16.0,9.0,FHD,4G,1.0,0,1,0,1,1,1,0,1
1313,420.0,1600.0,6.7,4500.0,6.0,128.0,19.0,26.0,QHD,4G,3.0,1,1,0,1,1,1,0,0
356,215.0,420.0,6.53,4000.0,4.0,64.0,19.0,16.0,FHD,5G,2.0,0,1,0,1,1,0,0,0
1798,215.0,420.0,5.0,2390.0,1.0,8.0,12.0,3.0,HD,4G,1.0,0,1,1,1,0,0,0,0
910,40.0,215.0,6.21,3300.0,3.0,8.0,12.0,7.0,qHD,3G,1.0,0,0,0,0,0,0,0,0
1126,215.0,420.0,5.5,1928.22,4.0,64.0,12.0,5.0,QHD,4G,1.0,1,1,0,0,1,1,0,1
1122,40.0,215.0,5.7,3000.0,3.0,32.0,12.0,9.0,FHD,4G,3.0,0,1,0,1,1,1,0,1
676,215.0,420.0,5.93,3340.0,3.0,32.0,16.0,9.0,QHD,4G,2.0,0,1,0,1,0,1,0,0
1345,215.0,420.0,7.32,3300.0,2.0,16.0,12.0,5.0,HD,4G,1.0,0,1,0,1,1,0,0,0
1283,215.0,420.0,5.5,3519.37,4.0,64.0,13.0,9.0,FHD,4G,1.0,1,1,0,1,0,0,0,0
1238,420.0,1600.0,6.76,4054.75,2.0,128.0,16.0,24.0,HD,4G,3.0,1,0,1,1,0,1,1,1
1363,40.0,215.0,5.5,3300.0,3.0,16.0,13.0,5.0,FHD,4G,3.0,1,1,0,1,0,1,0,0
1623,40.0,215.0,5.5,4000.0,2.0,16.0,13.0,5.0,HD,4G,1.0,0,0,0,1,1,0,0,0
1318,40.0,215.0,6.4,4000.0,3.0,32.0,13.0,9.0,FHD,4G,3.0,1,1,0,1,0,1,0,0
1518,215.0,420.0,6.22,3260.0,4.0,64.0,13.0,11.0,HD,4G,1.0,0,1,0,1,0,0,0,0
383,215.0,420.0,4.47,3000.0,2.0,16.0,12.0,13.0,HD,4G,1.0,0,1,0,1,0,1,0,0
1236,215.0,420.0,4.15,2420.0,2.0,16.0,18.0,5.0,HD,4G,1.0,0,1,0,1,0,0,0,0
919,215.0,420.0,5.5,4100.0,3.0,32.0,13.0,9.0,FHD,4G,1.0,0,0,0,1,1,0,0,0
1022,40.0,215.0,6.2,3210.0,2.0,64.0,12.0,20.0,FHD,4G,2.0,0,0,0,1,1,0,0,0
200,40.0,215.0,6.39,3500.0,1.0,128.0,16.0,20.0,FHD,4G,3.0,1,1,0,1,1,0,0,0
701,215.0,420.0,6.0,3000.0,1.0,16.0,11.0,3.0,HD,3G,1.0,0,1,1,1,0,0,0,0
854,215.0,420.0,5.5,3020.0,6.0,32.0,13.0,9.0,HD,4G,1.0,0,1,0,1,0,0,0,0
840,215.0,420.0,4.7,2000.0,2.0,16.0,14.0,5.0,HD,3G,1.0,0,0,0,1,0,0,0,0
104,215.0,420.0,6.4,4000.0,3.0,32.0,16.0,9.0,FHD,4G,2.0,0,1,0,1,1,0,0,1
1071,40.0,215.0,5.0,3000.0,3.0,32.0,13.0,12.0,FHD,4G,1.0,0,1,0,1,0,0,0,0
838,215.0,420.0,4.5,2000.0,1.0,4.0,19.0,5.0,HD,3G,1.0,0,1,0,1,0,0,0,0
1860,215.0,420.0,5.5,3600.0,4.0,16.0,12.0,5.0,QHD,4G,1.0,1,1,0,1,1,1,1,1
