,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
314,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0
1861,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1
1339,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1
664,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
918,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
696,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1
184,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1549,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1228,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0
1098,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1
1429,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
330,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0
1076,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1
645,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
1095,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1
1031,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1832,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1
1109,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0
1629,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
584,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
713,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0
102,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1
569,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1
1010,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
114,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1
120,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1
1890,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1
1337,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1
1068,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
656,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1
744,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1
1310,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1
914,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
1266,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
1534,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
897,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1
125,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
69,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1
1780,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1
88,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
986,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
339,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1
