,misc_price,display_size,battery,memory_ram_gb,memory_rom_gb,main_camera_resolution,selfie_camera_resolution,display_resolution,network_technology,num_main_camera,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,has_wireless_charging,is_waterproof
2079,1,-0.5077123928842501,-0.16123511987937192,0.14325347079988532,0.12385887077031431,0.7981642057238422,-0.1837258933498531,2.0,1.0,0.0,0,1,1,1,1,1,0,1
456,1,-0.8249556986441849,-0.7384457700741022,-0.46117167823642896,-0.5689795861666506,-0.019751710024518386,-0.20502003211729702,1.0,0.0,0.0,0,1,0,1,0,1,0,0
1960,1,-2.5889266020812234,-1.679474645245091,-1.3130610792987076,-0.5689795861666506,-1.6010651339665547,-2.1752879730480847,0.0,0.0,0.0,0,1,0,1,1,0,0,0
145,2,1.5885915838299562,1.1484385681565934,1.8470322729244428,1.5478876032595772,2.3182819281035245,1.9911490829978067,3.0,2.0,2.0,1,0,1,0,1,1,0,1
51,2,1.4875457151965732,1.1484385681565934,1.3190161908860896,1.5478876032595772,1.9856169536069186,1.6334855384137443,2.0,2.0,2.0,1,0,1,1,1,1,1,1
931,0,1.958383880991488,1.0607880895487916,-1.3130610792987076,-1.233296361735614,-1.6010651339665547,-1.4402743938224192,1.0,0.0,0.0,0,1,1,1,0,0,0,0
1490,1,0.666460449516626,0.2712800655159328,0.6120820394698715,1.5478876032595772,1.0623645242527051,1.6334855384137443,2.0,1.0,2.0,1,1,0,1,1,1,0,0
87,0,-0.12524939409595964,-0.07536677871741908,-0.46117167823642896,-0.5689795861666506,-0.8443449197805482,-0.20502003211729702,1.0,1.0,0.0,0,1,0,1,0,1,0,0
189,1,0.9926167489779046,-0.07536677871741908,0.6120820394698715,0.8319324810162473,0.3426019867430691,0.7910542620196354,2.0,1.0,1.0,0,1,0,1,1,0,0,1
1402,2,0.5272486379842016,0.5978418991933626,-0.46117167823642896,-0.5689795861666506,-0.019751710024518386,0.8865250476265044,2.0,0.0,0.0,0,0,0,1,0,1,0,0
1639,0,-0.8249556986441849,-1.041677862832952,0.14325347079988532,0.12385887077031431,0.9861783671231833,0.31732690684582165,1.0,1.0,0.0,0,1,0,1,1,1,0,0
2108,1,-0.05053818131243117,1.7826316912599804,-0.46117167823642896,-0.5689795861666506,-0.019751710024518386,-0.20502003211729702,1.0,1.0,0.0,0,1,0,1,0,0,0,0
1250,1,0.9390152047928533,1.7826316912599804,0.6120820394698715,0.8319324810162473,-0.1580595432748578,0.31732690684582165,1.0,1.0,0.0,0,1,0,1,0,1,0,1
83,0,1.3982565147548824,0.9709737187084049,0.14325347079988532,0.12385887077031431,-0.019751710024518386,0.31732690684582165,1.0,1.0,3.0,0,1,0,1,0,1,0,0
348,0,-0.05053818131243117,-1.2033301916972716,-1.3130610792987076,0.12385887077031431,-0.8443449197805482,0.31732690684582165,1.0,0.0,0.0,0,1,0,1,0,0,0,0
1827,0,-0.05053818131243117,0.0438898962110949,-0.46117167823642896,-0.5689795861666506,-0.019751710024518386,-0.20502003211729702,1.0,1.0,0.0,0,1,0,1,1,0,0,0
