misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,oem_model,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
599.0,2019.0,6.3,1,0,1,0,1,1,4G,3700.0,1,1,Google - Pixel 4 XL,1440.0,3040.0,64.0,6.0,12.2,2.0,8,2.0
524.52,2019.0,5.7,1,0,1,0,1,1,4G,2800.0,1,1,Google - Pixel 4,1080.0,2280.0,64.0,6.0,12.2,2.0,8,2.0
329.0,2019.0,6.0,1,0,1,1,1,1,4G,3700.0,0,0,Google - Pixel 3a XL,1080.0,2160.0,64.0,4.0,12.2,1.0,8,1.0
304.0,2019.0,5.6,1,0,1,1,1,1,4G,3000.0,0,0,Google - Pixel 3a,1080.0,2220.0,64.0,4.0,12.2,1.0,8,1.0
110.0,2020.0,5.71,0,1,0,1,0,0,4G,3020.0,0,0,Honor - 8S 2020,720.0,1520.0,64.0,3.0,13,1.0,5,1.0
250.0,2020.0,6.81,0,1,0,1,1,0,5G,4300.0,0,0,Honor - Play4,1080.0,2400.0,128.0,8.0,64,4.0,16,1.0
360.0,2020.0,6.57,0,0,0,0,1,1,5G,4200.0,0,0,Honor - Play4 Pro,1080.0,2400.0,128.0,8.0,40,2.0,32,2.0
347.7580632142374,2020.0,6.63,0,0,0,1,1,0,5G,4300.0,0,0,Honor - X10 5G,1080.0,2400.0,64.0,6.0,40,3.0,16,1.0
140.0,2020.0,6.3,0,1,0,1,0,0,4G,5000.0,0,0,Honor - 9A,720.0,1600.0,64.0,3.0,13,3.0,8,1.0
179.99,2020.0,6.5,0,1,0,1,1,1,4G,3750.0,0,0,Honor - 9X Lite,1080.0,2340.0,128.0,4.0,48,2.0,8,1.0
813.2669913702276,2020.0,6.57,1,0,1,0,1,1,5G,4000.0,1,1,Honor - 30 Pro+,1080.0,2340.0,256.0,8.0,50,4.0,32,2.0
