,misc_price,launch_announced,display_size,has_oled_display,has_memory_card_slot,has_stereo_speakers,has_3.5mm_jack,has_wlan_5ghz,has_nfc,network_technology,battery,has_wireless_charging,is_waterproof,oem_model,display_width,display_height,memory_rom_gb,memory_ram_gb,main_camera_resolution,num_main_camera,selfie_camera_resolution,num_selfie_camera
1501,100.0,2019.0,6.22,0,1,0,1,0,0,4G,4030.0,0,0,vivo Y91i,720.0,1520.0,16.0,2.0,13.0,1.0,8.0,1.0
1193,270.0,2018.0,6.3,0,1,0,1,1,0,4G,3500.0,0,0,Oppo A7x,1080.0,2340.0,128.0,4.0,16.0,2.0,16.0,1.0
477,250.0,2017.0,5.7,0,1,0,1,0,0,4G,4130.0,0,0,Asus Zenfone Max Plus (M1) ZB570TL,1080.0,2160.0,16.0,2.0,16.0,2.0,8.0,1.0
264,112.0,2019.0,6.22,0,1,0,1,0,0,4G,5000.0,0,1,Xiaomi Redmi 8,720.0,1520.0,32.0,3.0,12.0,1.0,8.0,1.0
847,320.0,2014.0,4.5,0,1,1,1,1,1,4G,3100.0,0,1,Kyocera DuraForce,720.0,1280.0,16.0,2.0,8.0,1.0,2.0,1.0
1475,190.0,2014.0,5.5,0,1,0,1,0,1,4G,2500.0,0,0,Sony Xperia C3,720.0,1280.0,8.0,1.0,8.0,1.0,5.0,1.0
780,220.0,2018.0,6.3,0,1,0,1,0,0,4G,3340.0,0,0,Huawei nova 3i,1080.0,2340.0,128.0,4.0,16.0,2.0,24.0,2.0
1254,100.0,2017.0,5.0,0,1,0,1,0,0,4G,2500.0,0,0,Panasonic Eluga I9,720.0,1280.0,32.0,3.0,13.0,1.0,5.0,1.0
1705,130.0,2015.0,5.5,0,1,0,1,1,0,4G,3000.0,0,0,ZTE Zmax 2,720.0,1280.0,16.0,2.0,8.0,1.0,2.0,1.0
1710,290.0,2015.0,5.5,0,0,0,1,0,1,4G,3000.0,0,0,ZTE Axon Pro,1440.0,2560.0,32.0,4.0,13.0,2.0,8.0,1.0
1112,150.0,2019.0,5.7,0,1,0,1,0,0,4G,3000.0,0,1,Motorola Moto G7 Play,720.0,1512.0,32.0,2.0,13.0,1.0,8.0,1.0
864,150.0,2014.0,4.7,0,1,0,1,0,0,3G,2000.0,0,0,Lava Iris Pro 20,540.0,960.0,4.0,1.0,8.0,1.0,0.3,1.0
1834,160.0,2017.0,5.5,0,1,0,1,0,0,4G,3000.0,0,0,Coolpad Note 3 - Panasonic Eluga Pulse X - vivo Y65,720.0,1280.0,16.0,3.0,13.0,1.0,5.0,1.0
765,280.0,2018.0,7.12,0,1,0,1,0,0,4G,5000.0,0,0,Huawei Y Max,1080.0,2244.0,128.0,4.0,16.0,2.0,8.0,1.0
1599,160.0,2017.0,5.7,0,1,0,1,0,0,4G,3300.0,0,0,Xiaomi Redmi 5,720.0,1440.0,16.0,2.0,12.0,1.0,5.0,1.0
1738,230.0,2015.0,4.8,1,0,0,1,0,0,3G,2050.0,0,0,Allview X2 Soul Mini - Gionee Elife S5.1 - QMobile Noir Z7,720.0,1280.0,16.0,1.0,8.0,1.0,5.0,1.0
460,300.0,2017.0,5.73,0,0,0,0,1,1,4G,3100.0,0,0,Archos Diamond Omega,1080.0,2040.0,128.0,8.0,12.0,2.0,5.0,1.0
417,200.0,2014.0,5.0,0,1,0,1,0,1,3G,2000.0,0,0,alcatel Idol 2,540.0,960.0,8.0,1.0,8.0,1.0,2.0,1.0
1479,180.0,2014.0,4.8,0,1,0,1,1,1,3G,2300.0,0,0,Sony Xperia M2 dual,540.0,960.0,8.0,1.0,8.0,1.0,0.3,1.0
1174,700.0,2018.0,6.41,1,0,0,0,1,1,4G,3700.0,0,0,OnePlus 6T McLaren,1080.0,2340.0,256.0,10.0,16.0,2.0,16.0,1.0
355,440.0,2019.0,5.65,0,1,0,1,1,1,4G,3100.0,0,1,Cat S52,720.0,1440.0,64.0,4.0,12.0,1.0,8.0,1.0
1690,110.0,2016.0,6.0,0,1,0,1,1,0,4G,3400.0,0,0,ZTE Zmax Pro,1080.0,1920.0,32.0,2.0,13.0,1.0,5.0,1.0
889,200.0,2017.0,5.2,0,1,0,1,0,0,4G,4000.0,0,0,Lenovo K8 Plus,1080.0,1920.0,32.0,3.0,13.0,2.0,8.0,1.0
655,220.0,2014.0,5.7,0,0,0,1,0,0,3G,3200.0,0,0,Gionee Gpad G4,720.0,1280.0,16.0,1.0,13.0,1.0,5.0,1.0
322,218.56,2019.0,6.5,0,1,0,1,0,0,4G,4000.0,0,0,Samsung Galaxy A20s,720.0,1560.0,32.0,3.0,13.0,3.0,8.0,1.0
