,1549,330,656,1516,1162,289,785,1042,268,329,309,341,704,1445,1344,1899,33,185,443,225,162,1336,1893
misc_price_min,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
misc_price_max,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
display_size,6.2895756682750985,6.360011394529787,5.2810436124347335,6.0438329488128195,5.461412032861831,6.188737866810048,5.20888581392208,5.818841198715819,6.365157736626515,6.365153081880979,6.365156799146392,4.743524906937274,5.748815500934821,6.141418583397266,5.837405153367232,6.027265480258199,6.365130586590601,6.185913064847038,5.161678090766779,6.358614437844921,6.365137309959951,6.341949865310897,6.365157767790209
battery,3410.309754865455,3853.660129716692,2890.947153760694,3348.539079186022,3057.03234182835,4118.626833947562,3582.9395748238694,3294.3880292034646,2975.226613915821,3997.181979061293,3780.6545781049576,2333.3484112888445,3855.1457276889937,3800.130246054039,3839.8328193679245,4118.626750312413,3854.0779474461247,2595.998049715999,2603.770003815263,3912.8162323618694,3854.075123302921,3529.6944465026413,3031.1124823027144
memory_ram_gb,3.0,3.999999999999999,1.9999999999997171,4.000000000000005,4.000000000000087,4.000000000000001,4.000000000000026,3.999999999999999,3.999999999999999,4.000000000000001,2.999999999999977,2.0000000000002647,3.999999999999999,2.0000000000000004,3.0000000000000098,3.9999999999995124,4.0000000000000036,3.999999999999985,2.9999999999999964,3.9999999999999982,3.999999999999999,3.999999999999999,4.000000000000003
memory_rom_gb,63.999999999999986,63.999999999999986,15.999999999995374,63.9999999999998,64.00000000000136,16.0,16.000000000000167,32.000000000000234,63.999999999999986,32.000000000000014,63.999999999998764,63.999999999999986,63.999999999999986,32.0,31.99999999999997,63.99999999997516,63.999999999999986,31.999999999999837,16.00000000000014,64.0000000000001,63.999999999999986,16.0,63.999999999999986
main_camera_resolution,16.0,13.0,16.0,14.0,16.0,16.0,16.0,14.0,16.0,14.0,13.0,14.0,14.0,16.0,14.0,16.0,16.0,17.0,12.0,17.0,16.0,16.0,14.0
selfie_camera_resolution,8.0,6.0,8.0,4.0,12.0,12.0,13.0,4.0,13.0,12.0,13.0,6.0,4.0,13.0,4.0,14.0,13.0,13.0,5.0,13.0,13.0,4.0,8.0
display_resolution,qHD,HD,HD,HD,HD,HD,HD,qHD,HD,HD,HD,HD,HD,HD,HD,qHD,HD,HD,HD,HD,HD,HD,qHD
network_technology,4G,4G,3G,4G,3G,4G,3G,4G,4G,4G,3G,3G,4G,4G,4G,4G,4G,4G,3G,4G,4G,4G,4G
num_main_camera,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
has_oled_display,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
has_memory_card_slot,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
has_stereo_speakers,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
has_3.5mm_jack,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
has_wlan_5ghz,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
has_nfc,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
has_wireless_charging,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
is_waterproof,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
