,314,1861,1339,918,1672,1031,713,569,1890,1818,1310,1360,141,535,583,1002,214,748,1618,211,1802,615,1870,74,1458,1053,372,1009,1245,194,1017,450,949,1889,738,1700,271,1615,1237,1271,762,821,31,1145,40,1183,1900,1806,303,1362,499,1391,249,1689,1476,1005,505,103
misc_price_min,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
misc_price_max,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0
display_size,5.530662917337398,5.027279874557082,5.331129973411505,4.8018583796975,5.008853256538761,4.9393281577772905,5.4523024666604805,5.148366283141423,5.247468568491786,4.737850468014874,6.22216193294273,4.736495544389951,6.365155976805694,4.753091019927478,5.334294233846202,5.3891420876757286,6.345499328651705,5.108605398166604,4.8231795627761365,6.34549927318756,5.316860385700512,4.837129125621777,4.913587469815927,5.976678933080737,5.019068736274243,4.823179561492864,4.778590916924805,5.541332063086324,5.102516132444348,6.286003208156611,4.885525952540075,4.7364704270337254,4.919002411337803,4.921771375444635,5.208276125941311,4.943740297651035,5.087737075273795,4.73646923430173,4.925430940852021,4.773318801332775,5.570942307893312,5.298860506552305,6.196625102368683,5.792520158820439,6.277722654171219,4.736469206675588,5.5852598935133635,4.736469140650223,6.282931495263562,5.004277679536795,4.978387170427038,5.240650254383459,5.8966196201675745,5.38993615156817,4.8916719189885685,5.290437997579339,4.886756505024963,6.345499319491489
battery,2346.7900670350837,3746.4536173377387,3385.8759561114553,2765.60784683241,4043.2459856785144,3533.1194854174014,3041.7245505671444,2451.0881197348403,3038.4394262811606,4118.626720115594,4118.611185445608,2425.791289142745,3327.038157083174,3035.248389830757,3188.711972861709,3326.6470804723017,4115.444638484616,2820.524773934688,3133.316010022483,4115.444960769855,4118.6266618881145,3150.845120136836,4118.626799076409,3677.1335228257685,3860.417527746302,3133.3160059790234,4118.6263799908775,2709.5272218387136,3331.43830218875,3114.9421720048176,3205.337541839261,2498.1928660889257,3692.761659611744,4118.626478313785,4034.584041879013,2815.3544913149412,2453.932710030385,2990.422901010551,3125.8578729214014,3903.427801999245,3801.742294443316,3979.2096846686677,3092.309977440979,3784.71354448105,4118.595905174903,4021.920165797292,3957.061910234079,3558.040729412562,4118.624874346312,3640.0498532475344,4118.626726949337,4042.2359473462593,4118.571724026597,4118.626696587566,3104.512809820589,2530.6152231615697,2547.1801624053046,4115.44469068587
memory_ram_gb,2.0000000000000004,2.0000000000000164,3.000000000000086,3.0,2.999999999999983,3.999999999999999,4.000000000000008,4.000000000000295,2.0000000000000004,3.0,2.0000000000000004,2.0000000000000004,3.0,3.0,3.999999999999999,2.0000000000000004,3.9999999999999982,2.0000000000000004,3.0000000000000036,3.9999999999999982,2.0000000000000004,3.999999999999999,1.9999999999918923,4.000000000000001,2.0000000000000004,3.0000000000000036,2.0000000000000004,2.0000000000000004,3.9999999999998526,3.999999999999999,4.000000000000005,3.999999999999999,3.0,3.999999999999999,3.0,2.0000000000000018,2.0000000000000004,2.000000000000009,3.0,2.0000000000000004,4.0000000000001945,3.0,4.000000000000001,1.999999999999997,3.0,3.0,3.999999999999999,3.0,3.0,3.9999999999997575,3.999999999999999,3.0,3.999999999999999,3.0,3.0,2.0000000000000004,1.9999999999999671,3.9999999999999627
memory_rom_gb,63.999999999999986,32.0,32.0,64.00000000000044,16.0,32.00000000000004,16.000000000000018,16.0,16.0,32.00000000000006,16.00000000000001,32.0,63.999999999999986,16.000000000000078,16.0,16.0,64.00000000000004,16.0,64.00000000000027,63.999999999999986,32.00000000000243,63.999999999999986,15.999999999953737,32.000000000000014,32.0,64.00000000000027,32.0,16.0,16.0,63.999999999999986,16.0,16.0,32.0,16.0,32.0,32.000000000000135,15.999999999999957,63.999999999999986,63.999999999999986,63.99999999999993,64.00000000000668,16.00000000000022,16.0,32.0,63.999999999999986,16.0,63.999999999999986,32.0,16.0,63.99999999999311,63.999999999999986,16.0,32.0,16.00000000001831,16.0,15.999999999999972,16.00000000000026,63.999999999999346
main_camera_resolution,16.0,16.0,13.0,16.0,17.0,14.0,16.0,16.0,14.0,17.0,12.0,12.0,16.0,12.0,12.0,15.0,16.0,16.0,16.0,16.0,15.0,16.0,17.0,16.0,16.0,16.0,16.0,13.0,13.0,16.0,12.0,16.0,16.0,16.0,16.0,13.0,17.0,12.0,16.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,13.0,12.0,16.0
selfie_camera_resolution,13.0,11.0,14.0,5.0,8.0,14.0,10.0,11.0,12.0,4.0,11.0,11.0,11.0,4.0,5.0,5.0,10.0,10.0,4.0,11.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,9.0,4.0,13.0,5.0,4.0,5.0,9.0,13.0,6.0,13.0,4.0,5.0,9.0,13.0,4.0,13.0,4.0,12.0,4.0,13.0,5.0,13.0,6.0,5.0,7.0,12.0,6.0,4.0,4.0,5.0,10.0
display_resolution,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,qHD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,qHD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD,qHD,qHD,HD,HD,HD,HD,HD,HD,HD,HD,qHD,HD,HD,HD,HD,HD,HD,HD,HD,HD,HD
network_technology,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,3G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G,4G
