,lr,batch,dropout,t0,tmult,weight_decay,max_acc_std,max_acc_mean,max_acc_0,max_acc_1,max_acc_2,max_acc_3,max_acc_4,epoch_max_acc_0,epoch_max_acc_1,epoch_max_acc_2,epoch_max_acc_3,epoch_max_acc_4
0,0.009000000000000001,512.0,0.1,10.0,1.0,0.04000000000000001,0.024073202274589315,0.752484244939676,0.7527464660011888,0.7127898575266997,0.769835625098783,0.7438138385349746,0.7832354375367342,65.0,16.0,12.0,72.0,10.0
1,0.004,512.0,0.0,5.0,1.0,0.020000000000000004,0.025313172118954383,0.7547876868948286,0.7496976251546404,0.7132245026981869,0.7756101966628283,0.7492208199143783,0.7861852900441088,38.0,9.0,87.0,91.0,31.0
2,0.01,1024.0,0.3,20.0,3.0,0.05000000000000001,0.020499466947129962,0.757224701086656,0.7552276202328482,0.7262299893878841,0.7607532344374449,0.7533823183133741,0.7905303430617282,60.0,40.0,29.0,91.0,43.0
3,0.008,1024.0,0.0,5.0,1.0,0.04000000000000001,0.022989174436511106,0.7544509111062716,0.7460350566052156,0.7183104156788368,0.77410305041884,0.7500324465234941,0.7837735863049714,28.0,63.0,25.0,68.0,51.0
4,0.007,2048.0,0.0,15.0,1.0,0.07,0.022239604692316332,0.7534316599841369,0.7452233522239918,0.7180733364943892,0.7695985459143354,0.7510276277512334,0.7832354375367342,47.0,18.0,45.0,94.0,53.0
5,0.009000000000000001,512.0,0.2,5.0,1.0,0.1,0.020373429709301363,0.7547604630221751,0.7434282102033496,0.7239777371356318,0.769835625098783,0.7540229053914999,0.7825378372816117,59.0,29.0,11.0,93.0,13.0
6,0.005,512.0,0.3,15.0,3.0,0.020000000000000004,0.02573628285382486,0.7546149801528267,0.7441828236354687,0.7178023888550203,0.7779358305674094,0.7440187151547514,0.7891351425514834,28.0,72.0,21.0,29.0,60.0
7,0.01,2048.0,0.3,20.0,3.0,0.05000000000000001,0.02547016582605246,0.7543155965997295,0.7496976251546404,0.7153469258732418,0.7747747747747749,0.7433211148996289,0.7884375422963611,99.0,8.0,26.0,32.0,27.0
8,0.008,512.0,0.2,15.0,1.0,0.020000000000000004,0.027786441250421387,0.7534069377224849,0.7504674321457956,0.7092844724423673,0.7779358305674094,0.7417664629024991,0.7875804905543534,86.0,16.0,16.0,22.0,21.0
9,0.008,2048.0,0.3,10.0,1.0,0.020000000000000004,0.021810654386528423,0.754503054082367,0.7446096245211152,0.7243220664273297,0.7747747747747749,0.7448757668967588,0.7839330377918565,33.0,34.0,40.0,38.0,35.0
